"Q0045"
"Q0250"
"Q0275"
"YAL001C"
"YAL005C"
"YAL007C"
"YAL009W"
"YAL011W"
"YAL013W"
"YAL015C"
"YAL016W"
"YAL017W"
"YAL021C"
"YAL023C"
"YAL024C"
"YAL026C"
"YAL027W"
"YAL029C"
"YAL030W"
"YAL032C"
"YAL034W-A"
"YAL035W"
"YAL040C"
"YAL041W"
"YAL042W"
"YAL043C"
"YAL047C"
"YAL058W"
"YAL059W"
"YAR002C-A"
"YAR002W"
"YAR003W"
"YAR007C"
"YAR014C"
"YAR019C"
"YAR027W"
"YAR042W"
"YBL002W"
"YBL007C"
"YBL008W"
"YBL011W"
"YBL016W"
"YBL017C"
"YBL019W"
"YBL023C"
"YBL026W"
"YBL032W"
"YBL034C"
"YBL035C"
"YBL038W"
"YBL039C"
"YBL046W"
"YBL049W"
"YBL050W"
"YBL052C"
"YBL056W"
"YBL061C"
"YBL071W-A"
"YBL078C"
"YBL082C"
"YBL084C"
"YBL085W"
"YBL088C"
"YBL093C"
"YBL102W"
"YBL105C"
"YBL106C"
"YBR009C"
"YBR010W"
"YBR017C"
"YBR023C"
"YBR034C"
"YBR036C"
"YBR041W"
"YBR049C"
"YBR054W"
"YBR055C"
"YBR058C"
"YBR058C-A"
"YBR060C"
"YBR061C"
"YBR069C"
"YBR079C"
"YBR080C"
"YBR081C"
"YBR082C"
"YBR083W"
"YBR087W"
"YBR088C"
"YBR089C-A"
"YBR094W"
"YBR098W"
"YBR101C"
"YBR102C"
"YBR103W"
"YBR106W"
"YBR107C"
"YBR109C"
"YBR110W"
"YBR111W-A"
"YBR112C"
"YBR114W"
"YBR119W"
"YBR123C"
"YBR126C"
"YBR127C"
"YBR130C"
"YBR133C"
"YBR135W"
"YBR136W"
"YBR140C"
"YBR142W"
"YBR143C"
"YBR152W"
"YBR154C"
"YBR155W"
"YBR158W"
"YBR159W"
"YBR160W"
"YBR162C"
"YBR162W-A"
"YBR164C"
"YBR167C"
"YBR170C"
"YBR171W"
"YBR175W"
"YBR179C"
"YBR183W"
"YBR188C"
"YBR193C"
"YBR195C"
"YBR198C"
"YBR200W"
"YBR201W"
"YBR202W"
"YBR211C"
"YBR217W"
"YBR221C"
"YBR223C"
"YBR229C"
"YBR231C"
"YBR234C"
"YBR245C"
"YBR247C"
"YBR251W"
"YBR253W"
"YBR254C"
"YBR255W"
"YBR257W"
"YBR260C"
"YBR267W"
"YBR270C"
